name,trade,phone,website,address,rating,review_count,source
"Alpha Rod","Plumber","01249 448345","","5 Pegasus Way","5.0","351","Google Maps"
"G4 Gas","Plumber","01225 769828","","White Horse Business Park","4.8","28","Google Maps"
"EMERGENCY PLUMBER 24-7","Plumber","01225 240260","","Camden Rd","4.9","68","Google Maps"
"Ace Energy Plumbing Heating Electrical & Boiler Specialists","Plumber","01225 729005","","2-3 Mile End London Rd","4.9","69","Google Maps"
"Purely Plumbing","Plumber","07765 784333","","Spring Gardens Rd","4.9","105","Google Maps"
"Bath Plumber 24/7 (Bath & Radstock)","Plumber","07885 700273","","17 Belmont","5.0","24","Google Maps"
"Bath City Plumbers","Plumber","07903 772857","","22 Daniel St","4.7","18","Google Maps"
"Burcombe Plumbing & Heating","Plumber","07904 812901","","21 Woodhouse Rd","5.0","14","Google Maps"
"LPB Plumbing","Plumber","07825 871472","","","4.9","32","Google Maps"
"DSH Heating (& Plumbing)","Plumber","07921 224617","","584 Wellsway","5.0","68","Google Maps"
"Assured Electricians Bath","Electrician","01225 270027","","1 Queen Square","5.0","51","Google Maps"
"MJP Electrical","Electrician","","","Henfield Road","4.9","607","Google Maps"
"Darrington Electrical Services Bath","Electrician","01225 478956","","Larkhall Ter","4.8","231","Google Maps"
"AWP Electrical & Son Ltd","Electrician","01225 421839","","57 Edgeworth Rd","4.9","169","Google Maps"
"Bath Electrical Solutions Ltd","Electrician","07884 288716","","67 Bloomfield Dr","4.9","55","Google Maps"
"Brown's Electrical","Electrician","07515 020682","","Glenavon Corston Lane Corston","5.0","5","Google Maps"
"Green Zone Electrical Bath","Electrician","07983 145436","","8 Prior Park Rd","5.0","31","Google Maps"
"Arcs & Sparks Electricians","Electrician","01225 789631","","2-3 Mile End London Rd","4.7","36","Google Maps"
"SSB Electrical","Electrician","07427 625390","","23 Coxley Dr","4.9","39","Google Maps"
"Seal-Lite Group","Roofer","01275 342656","","1 Tweed Road","4.4","37","Google Maps"
"S&J Roofing Bath","Roofer","01225 951223","","130 Walcot St","5.0","92","Google Maps"
"Blackstone Roofing Ltd - Bath","Roofer","","","Office 114 Edgar Buildings 3 George St","5.0","11","Google Maps"
"HS Roofing & Construction Ltd","Roofer","01225 941082","","5 Argyle St","4.9","64","Google Maps"
"Noad Roofing Limited","Roofer","01225 941949","","Bolwell Buildings 1 Claverton St Widcombe Parade","4.8","63","Google Maps"
"The Bath Roofing Company","Roofer","01225 941212","","1 Queen Square","4.5","16","Google Maps"
"Chris Pritchard Roofing Ltd","Roofer","","","12 Lansdown Ln","5.0","10","Google Maps"
"Robinson's Roofing Specialists","Roofer","01225 872637","","20 Old Bond St","5.0","27","Google Maps"
"Total Roofing Bath Ltd","Roofer","01225 941075","","Edgeworth Rd","5.0","9","Google Maps"
"Reliable Roofing - Bath","Roofer","01225 946147","","20 Green Park","5.0","1","Google Maps"
"Bristol Joinery Co","Builder","","","8 Station Road","5.0","4","Google Maps"
