Country,Clicks,Impressions,CTR,Position
United Kingdom,173,10024,1.73%,47.93
India,7,94,7.45%,27.01
United States,0,886,0%,18.07
Brazil,0,187,0%,22.8
France,0,104,0%,6.81
Argentina,0,49,0%,10.49
Spain,0,47,0%,11.17
Mexico,0,36,0%,17.89
Vietnam,0,36,0%,23.42
Canada,0,34,0%,11.44
Australia,0,32,0%,19.41
Colombia,0,29,0%,13.1
Indonesia,0,28,0%,5.25
Italy,0,28,0%,15.64
Philippines,0,27,0%,6.26
Turkey,0,25,0%,21.72
Japan,0,23,0%,5.83
Bangladesh,0,23,0%,10
Ecuador,0,22,0%,9.32
Germany,0,22,0%,29.32
Netherlands,0,21,0%,21.05
Chile,0,17,0%,27.88
Russia,0,14,0%,11.79
Peru,0,13,0%,8.92
South Africa,0,12,0%,10.42
Singapore,0,12,0%,11.33
Ireland,0,12,0%,22.25
Morocco,0,12,0%,25.83
Ukraine,0,12,0%,27
Saudi Arabia,0,12,0%,51.42
Algeria,0,11,0%,25.09
South Korea,0,10,0%,4.7
Romania,0,9,0%,2.67
Sweden,0,9,0%,24.33
Poland,0,9,0%,33.11
Dominican Republic,0,8,0%,1.88
Czechia,0,8,0%,3.25
Greece,0,8,0%,3.75
Switzerland,0,8,0%,4.25
Thailand,0,8,0%,8.75
Hungary,0,8,0%,13.25
Bulgaria,0,8,0%,22.75
Malaysia,0,7,0%,2.57
Venezuela,0,7,0%,6.71
Denmark,0,7,0%,14.86
Portugal,0,7,0%,27.29
Egypt,0,7,0%,41.29
Hong Kong,0,6,0%,3.5
Norway,0,6,0%,5.5
Pakistan,0,6,0%,18.83
United Arab Emirates,0,6,0%,35.83
Taiwan,0,5,0%,5
Slovakia,0,5,0%,15.8
Finland,0,5,0%,30.4
Israel,0,5,0%,32.2
Bolivia,0,4,0%,23
Honduras,0,4,0%,24
Belgium,0,4,0%,24.25
Iran,0,3,0%,1
Mongolia,0,3,0%,1
Nepal,0,3,0%,3
Uruguay,0,3,0%,5.33
Trinidad & Tobago,0,3,0%,10.33
Moldova,0,3,0%,15
Kazakhstan,0,3,0%,15.67
Kenya,0,3,0%,22
Azerbaijan,0,3,0%,22.33
Lithuania,0,3,0%,29
Iraq,0,3,0%,34.33
Albania,0,3,0%,46
Jordan,0,3,0%,52
Bosnia & Herzegovina,0,2,0%,1
Costa Rica,0,2,0%,1
Croatia,0,2,0%,1
Cambodia,0,2,0%,1
Macedonia,0,2,0%,1
Senegal,0,2,0%,1
Slovenia,0,2,0%,1
Kosovo,0,2,0%,1
Puerto Rico,0,2,0%,1.5
Luxembourg,0,2,0%,2.5
Latvia,0,2,0%,3.5
Unknown Region,0,2,0%,6.5
Nigeria,0,2,0%,8.5
Uzbekistan,0,2,0%,11
Armenia,0,2,0%,16
Tunisia,0,2,0%,20
Oman,0,2,0%,25
Botswana,0,2,0%,32
New Zealand,0,2,0%,48.5
El Salvador,0,2,0%,57
Antigua & Barbuda,0,1,0%,1
Austria,0,1,0%,1
Belarus,0,1,0%,1
Belize,0,1,0%,1
St. Kitts & Nevis,0,1,0%,1
Sri Lanka,0,1,0%,1
Myanmar (Burma),0,1,0%,1
Mauritania,0,1,0%,1
Nicaragua,0,1,0%,1
Paraguay,0,1,0%,1
Syria,0,1,0%,3
Gibraltar,0,1,0%,4
Guatemala,0,1,0%,7
Bahamas,0,1,0%,10
Réunion,0,1,0%,10
China,0,1,0%,11
Ethiopia,0,1,0%,13
Isle of Man,0,1,0%,13
Swaziland,0,1,0%,40
Serbia,0,1,0%,45
Angola,0,1,0%,59
Tanzania,0,1,0%,65
Jamaica,0,1,0%,73
Yemen,0,1,0%,87
